"date","coronavirus_hits","state"
2020-03-24,64,"Texas"
2020-03-25,59,"Texas"
2020-03-26,58,"Texas"
2020-03-27,59,"Texas"
2020-03-28,55,"Texas"
2020-03-29,54,"Texas"
2020-03-30,49,"Texas"
2020-03-31,47,"Texas"
2020-04-01,46,"Texas"
2020-04-02,46,"Texas"
2020-04-03,60,"Texas"
2020-04-04,64,"Texas"
2020-04-05,61,"Texas"
2020-04-06,61,"Texas"
2020-04-07,59,"Texas"
2020-04-08,55,"Texas"
2020-04-09,52,"Texas"
2020-04-10,50,"Texas"
2020-04-11,36,"Texas"
2020-04-12,29,"Texas"
2020-04-13,43,"Texas"
2020-04-14,46,"Texas"
2020-04-15,43,"Texas"
2020-04-16,42,"Texas"
2020-04-17,44,"Texas"
2020-04-18,44,"Texas"
2020-04-19,28,"Texas"
2020-04-20,36,"Texas"
2020-04-21,40,"Texas"
2020-04-22,25,"Texas"
2020-04-23,34,"Texas"
2020-04-24,37,"Texas"
2020-04-25,23,"Texas"
2020-04-26,18,"Texas"
2020-04-27,19,"Texas"
2020-04-28,18,"Texas"
2020-04-29,16,"Texas"
2020-04-30,15,"Texas"
2020-05-01,16,"Texas"
2020-05-02,16,"Texas"
2020-05-03,17,"Texas"
2020-05-04,16,"Texas"
2020-05-05,16,"Texas"
2020-05-06,14,"Texas"
2020-05-07,14,"Texas"
2020-05-08,14,"Texas"
2020-05-09,14,"Texas"
2020-05-10,14,"Texas"
2020-05-11,14,"Texas"
2020-05-12,14,"Texas"
2020-05-13,13,"Texas"
2020-05-14,13,"Texas"
2020-05-15,13,"Texas"
2020-05-16,12,"Texas"
2020-02-18,4,"Tennessee"
2020-02-19,3,"Tennessee"
2020-02-20,3,"Tennessee"
2020-02-21,3,"Tennessee"
2020-02-22,3,"Tennessee"
2020-02-23,5,"Tennessee"
2020-02-24,6,"Tennessee"
2020-02-25,11,"Tennessee"
2020-02-26,16,"Tennessee"
2020-02-27,17,"Tennessee"
2020-02-28,16,"Tennessee"
2020-02-29,17,"Tennessee"
2020-03-01,14,"Tennessee"
2020-03-02,19,"Tennessee"
2020-03-03,18,"Tennessee"
2020-03-04,17,"Tennessee"
2020-03-05,42,"Tennessee"
2020-03-06,30,"Tennessee"
2020-03-07,25,"Tennessee"
2020-03-08,29,"Tennessee"
2020-03-09,37,"Tennessee"
2020-03-10,43,"Tennessee"
2020-03-11,52,"Tennessee"
2020-03-12,97,"Tennessee"
2020-03-13,87,"Tennessee"
2020-03-14,74,"Tennessee"
2020-03-15,100,"Tennessee"
2020-03-16,96,"Tennessee"
2020-03-17,92,"Tennessee"
2020-03-18,84,"Tennessee"
2020-03-19,85,"Tennessee"
2020-03-20,82,"Tennessee"
2020-03-21,81,"Tennessee"
2020-03-22,87,"Tennessee"
2020-03-23,82,"Tennessee"
2020-03-24,69,"Tennessee"
2020-03-25,65,"Tennessee"
2020-03-26,64,"Tennessee"
2020-03-27,63,"Tennessee"
2020-03-28,59,"Tennessee"
2020-03-29,55,"Tennessee"
2020-03-30,54,"Tennessee"
2020-03-31,52,"Tennessee"
2020-04-01,53,"Tennessee"
2020-04-02,53,"Tennessee"
2020-04-03,61,"Tennessee"
2020-04-04,65,"Tennessee"
2020-04-05,60,"Tennessee"
2020-04-06,61,"Tennessee"
2020-04-07,56,"Tennessee"
2020-04-08,53,"Tennessee"
2020-04-09,50,"Tennessee"
2020-04-10,50,"Tennessee"
2020-04-11,36,"Tennessee"
2020-04-12,28,"Tennessee"
2020-04-13,39,"Tennessee"
2020-04-14,44,"Tennessee"
2020-04-15,42,"Tennessee"
2020-04-16,39,"Tennessee"
2020-04-17,41,"Tennessee"
2020-04-18,40,"Tennessee"
2020-04-19,28,"Tennessee"
2020-04-20,34,"Tennessee"
2020-04-21,36,"Tennessee"
2020-04-22,25,"Tennessee"
2020-04-23,33,"Tennessee"
2020-04-24,34,"Tennessee"
2020-04-25,21,"Tennessee"
2020-04-26,17,"Tennessee"
2020-04-27,19,"Tennessee"
2020-04-28,18,"Tennessee"
2020-04-29,18,"Tennessee"
